DateTime,DateTime_sum,frame_nr,time_sum_ar,Timestamp,StepCount,last_step_time_ar,RightFootGround,LeftFootGround,step_length_sum_ar,hip_pos_list x,      y  ,      z  ,step_hip_list,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
27.11.2023 11:11:21 :849,7,0,0.020000,0.000000,0,-1,1,1,-1,(0.000000, 0.000000, 0.000000),-1,0.884548,0.166939,0.188728,0.166939,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
27.11.2023 11:11:21 :854,12,1,0.040000,0.033333,0,-1,1,1,-1,(0.000000, 0.000000, 0.000000),-1,0.884548,0.166939,0.188728,0.166939,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
27.11.2023 11:11:22 :359,517,2,0.373333,0.066667,0,-1,1,1,-1,(1.043377, 0.000000, 1.826758),-1,0.884548,0.190762,0.215660,0.057257,0.064730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.311190,7.134932,18.933570,21.404800,-0.575967,-0.013315,0.816993,-0.024660
27.11.2023 11:11:22 :389,547,3,0.407126,0.100000,0,-1,1,1,-1,(1.576717, 0.000000, 2.696731),-1,0.884548,0.213552,0.241425,0.211514,0.239121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.197070,34.138420,706.947000,799.218400,-0.833386,0.019706,0.550538,-0.044589
27.11.2023 11:11:22 :395,553,4,0.413508,0.133333,0,-1,1,1,-1,(1.576412, 0.000000, 2.696528),-1,0.884548,0.213060,0.240869,0.211030,0.238574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057350,0.064836,4739.834000,5358.482000,-0.833814,0.019230,0.549929,-0.044301
27.11.2023 11:11:22 :398,556,5,0.417266,0.166667,0,-1,1,1,-1,(1.576359, 0.000000, 2.696490),-1,0.884548,0.212877,0.240662,0.210854,0.238375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017525,0.019812,10.600170,11.983710,-0.833891,0.019145,0.549819,-0.044245
27.11.2023 11:11:22 :401,559,6,0.419712,0.200000,0,-1,1,1,-1,(1.576327, 0.000000, 2.696468),-1,0.884548,0.212770,0.240541,0.210751,0.238258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015846,0.017914,0.700599,0.792042,-0.833937,0.019096,0.549755,-0.044212
27.11.2023 11:11:22 :407,565,7,0.425375,0.233333,0,-1,1,1,-1,(1.576306, 0.000000, 2.696454),-1,0.884548,0.212700,0.240462,0.210684,0.238182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004467,0.005049,2.009350,2.271612,-0.833967,0.019063,0.549713,-0.044191
27.11.2023 11:11:22 :411,569,8,0.430001,0.266667,0,-1,1,1,-1,(1.576249, 0.000000, 2.696433),-1,0.884548,0.212656,0.240412,0.210639,0.238132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013105,0.014815,1.911811,2.161342,-0.834026,0.019004,0.549629,-0.044127
27.11.2023 11:11:22 :415,573,9,0.434118,0.300000,0,-1,1,1,-1,(1.576202, 0.000000, 2.696416),-1,0.884548,0.212625,0.240377,0.210609,0.238097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012178,0.013767,0.237080,0.268023,-0.834074,0.018956,0.549562,-0.044074
